upazila,district,latitude,longitude,network_type,signal_strength,accuracy,created_at
Matlab (Uttar),Chandpur,23.45,90.63,4G,Moderate,3,5/12/2025 2:02
Shahrasti,Chandpur,23.2222,90.95,4G,Moderate,10,5/12/2025 2:02
Anwara,Chittagong,22.2167,91.9111,4G,Good,8,5/12/2025 2:03
Banskhali,Chittagong,22.025,91.955,Wi-Fi,Good,9,5/12/2025 2:04
Boalkhali,Chittagong,22.3778,91.9208,4G,Low,3,5/12/2025 2:05
Chandanish,Chittagong,22.2111,92.0417,4G,Good,9,5/12/2025 2:22
Fatikchari,Chittagong,22.75,91.74,4G,Low,6,5/12/2025 2:22
Karnaphuli,Chittagong,22.3,91.9,4G,Moderate,6,5/12/2025 2:22
Lohagara,Chittagong,22.0083,92.1056,Wi-Fi,Good,0,5/12/2025 2:33
Mirsharai,Chittagong,22.7722,91.575,4G,Good,9,5/12/2025 2:35
Patiya,Chittagong,22.3,91.9833,Wi-Fi,Good,6,5/12/2025 2:37
Rangunia,Chittagong,22.4667,92.0833,4G,Good,7,5/12/2025 2:38
Raozan,Chittagong,22.5333,91.9333,4G,Low,8,5/12/2025 2:48
Sandwip,Chittagong,22.4833,91.4417,4G,Low,8,5/12/2025 2:49
Satkania,Chittagong,22.08833333,92.085,4G,Low,4,5/12/2025 2:52
Sitakunda,Chittagong,22.61666667,91.66166667,Wi-Fi,Good,5,5/12/2025 2:57
Chakoria,Cox'S Bazar,21.7861,92.0778,4G,Moderate,0,5/12/2025 3:15
Cox's Bazar Sadar,Cox'S Bazar,21.45,91.9833,4G,Low,3,5/12/2025 3:16
Kutubdia,Cox'S Bazar,21.8167,91.8583,4G,Low,4,5/12/2025 3:28
Moheshkhali,Cox'S Bazar,21.55,91.95,4G,Good,0,5/12/2025 3:49
Pekua,Cox'S Bazar,21.825,91.975,4G,Moderate,9,5/12/2025 3:51
Ramu,Cox'S Bazar,21.45833333,92.1,4G,Moderate,0,5/12/2025 3:59
Teknaf,Cox'S Bazar,20.8667,92.3,4G,Low,10,5/12/2025 4:05
Ukhiya,Cox'S Bazar,21.22,92.12,Wi-Fi,Moderate,7,5/12/2025 4:07
Barura,Cumilla,23.375,91.0583,4G,Low,8,5/12/2025 4:07
Brahmanpara,Cumilla,23.6167,91.1083,Wi-Fi,Low,10,5/12/2025 4:10
Burichong,Cumilla,23.55,91.12666667,4G,Low,10,5/12/2025 4:21
Chandina,Cumilla,23.4833,91.0083,4G,Low,3,5/12/2025 4:30
Chauddagram,Cumilla,23.22,91.3,4G,Good,0,5/12/2025 4:33
Cumilla Sadar,Cumilla,23.4583,91.1833,Wi-Fi,Low,9,5/12/2025 4:46
Cumilla Sadar Daksin,Cumilla,23.3667,91.2,Wi-Fi,Good,5,5/12/2025 4:55
Daudkandi,Cumilla,23.5333,90.7167,4G,Low,0,5/12/2025 5:44
Debidwar,Cumilla,23.6,90.9917,4G,Low,9,5/12/2025 5:48
Homna,Cumilla,23.6833,90.7917,4G,Low,6,5/12/2025 5:52
Laksham,Cumilla,23.24666667,91.12833333,4G,Good,1,5/12/2025 5:57
Lalmai,Cumilla,23.36002,91.15254,4G,Good,4,5/12/2025 6:02
Meghna,Cumilla,23.627,90.7037,4G,Moderate,5,5/12/2025 6:08
Monohorganj,Cumilla,23.1667,91.0667,4G,Low,0,5/12/2025 6:10
Muradnagar,Cumilla,23.6385,90.9325,4G,Good,7,5/12/2025 6:17
Nangalkot,Cumilla,23.13,91.22,4G,Moderate,4,5/12/2025 6:23
Titas,Cumilla,23.6,90.7667,4G,Low,5,5/12/2025 6:29
Chhagalniya,Feni,23.0361,91.5194,4G,Moderate,4,5/12/2025 6:32
Daganbhuiyan,Feni,22.9375,91.3042,4G,Good,4,5/12/2025 6:34
Amtali,Barguna,22.1294,90.2289,4G,Low,9,5/12/2025 6:43
Bamna,Barguna,22.3014,90.1,4G,Moderate,8,5/12/2025 6:46
Barguna Sadar,Barguna,22.1508,90.1264,4G,Low,0,5/12/2025 6:49
Betagi,Barguna,22.4167,90.1681,4G,Moderate,8,5/12/2025 6:59
Patharghata,Barguna,22.03333333,89.96666667,4G,Low,7,5/12/2025 7:04
Taltali,Barguna,22.00146,90.00295,4G,Moderate,1,5/12/2025 7:08
Agailjhara,Barishal,22.9667,90.15,4G,Low,9,5/12/2025 7:17
Babuganj,Barishal,22.8319,90.3222,4G,Good,4,5/12/2025 7:27
Bakerganj,Barishal,22.55,90.3389,4G,Good,5,5/12/2025 7:32
Banaripara,Barishal,22.7819,90.1667,4G,Moderate,9,5/12/2025 7:33
Barishal Sadar,Barishal,22.7,90.3667,4G,Moderate,0,5/12/2025 7:43
Hizla,Barishal,22.9,90.5083,4G,Low,0,5/12/2025 7:59
Mehendiganj,Barishal,22.8319,90.5333,4G,Low,1,5/12/2025 8:26
Muladi,Barishal,22.915,90.415,4G,Moderate,7,5/12/2025 8:31
Uzirpur,Barishal,22.8111,90.2444,4G,Low,1,5/12/2025 8:38
Bhola-S,Bhola,22.6903,90.6525,4G,Moderate,0,5/12/2025 8:42
Borhanuddin,Bhola,22.5,90.7217,4G,Good,9,5/12/2025 8:47
Charfassion,Bhola,22.1847,90.7625,4G,Moderate,8,5/12/2025 8:54
Daulatkhan,Bhola,22.6069,90.7358,4G,Good,10,5/12/2025 9:09
Lalmohan,Bhola,22.3211,90.7472,4G,Low,1,5/12/2025 9:11
Monpura,Bhola,22.2986,90.9792,4G,Low,4,5/12/2025 9:16
Tazumuddin,Bhola,22.4167,90.8486,Wi-Fi,Low,5,5/12/2025 9:32
Jhalokathi Sadar,Jhalokathi,22.6406,90.19868,Wi-Fi,Moderate,3,5/12/2025 9:37
Kathalia,Jhalokathi,22.4,90.125,4G,Moderate,3,5/12/2025 9:49
Nalchity,Jhalokathi,22.6222,90.2708,4G,Low,7,5/12/2025 9:57
Rajapur,Jhalokathi,22.5667,90.1417,4G,Low,10,5/12/2025 10:04
Bauphal,Patuakhali,22.45,90.53,Wi-Fi,Good,0,5/12/2025 10:30
Dashmina,Patuakhali,22.2833,90.5903,4G,Moderate,0,5/12/2025 10:33
Dumki,Patuakhali,22.43333333,90.36666667,4G,Moderate,1,5/12/2025 10:40
Galachipa,Patuakhali,22.1639,90.4306,4G,Good,8,5/12/2025 10:45
Kalapara,Patuakhali,21.9861,90.2422,4G,Moderate,10,5/12/2025 10:45
Mirzaganj,Patuakhali,22.36,90.22,4G,Low,8,5/12/2025 10:46
Patuakhali Sadar,Patuakhali,22.3542,90.3181,4G,Good,6,5/12/2025 10:48
Rangabali,Patuakhali,21.9333,90.4333,4G,Low,8,5/12/2025 10:55
Bhandaria,Pirojpur,22.4889,90.0733,4G,Moderate,0,5/12/2025 11:09
Hathazari,Chittagong,22.51666667,91.8,4G,Low,10,5/12/2025 11:16
Feni Sadar,Feni,23.0167,91.3917,4G,Good,1,5/12/2025 11:17
Fulgazi,Feni,23.13333333,91.43333333,4G,Low,9,5/12/2025 11:23
Porshuram,Feni,23.21666667,91.44166667,4G,Good,10,5/12/2025 11:27
Sonagazi,Feni,22.85,91.3917,4G,Moderate,2,5/12/2025 11:29
Dighinala,Khagrachari,23.2583,92.0583,4G,Moderate,4,5/12/2025 11:35
Guimara,Khagrachari,22.9604,91.8695,Wi-Fi,Moderate,8,5/12/2025 11:43
Khagrachari Sadar,Khagrachari,23.0417,91.9944,4G,Low,3,5/12/2025 12:00
Laxmichari,Khagrachari,22.81,91.94,4G,Low,6,5/12/2025 12:00
Mahalchari,Khagrachari,22.92,92.025,4G,Moderate,1,5/12/2025 12:20
Manikchari,Khagrachari,22.8347,91.8361,4G,Moderate,9,5/12/2025 12:22
Matiranga,Khagrachari,23.0417,91.875,4G,Moderate,5,5/12/2025 12:34
Panchari,Khagrachari,23.3,91.88,4G,Moderate,1,5/12/2025 12:47
Ramgarh,Khagrachari,22.9667,91.7,4G,Low,5,5/12/2025 12:54
Komol Nagar, Laxmipur,22.73,90.88,4G,Moderate,9,5/12/2025 13:08
 Laxmipur Sadar, Laxmipur,22.95,90.825,4G,Moderate,10,5/12/2025 13:08
Raipur, Laxmipur,23.0333,90.775,4G,Low,1,5/12/2025 13:15
Ramganj, Laxmipur,23.105,90.875,4G,Low,3,5/12/2025 13:16
Ramgati, Laxmipur,22.72,90.89,4G,Good,1,5/12/2025 13:17
Begumganj,Noakhali,22.95,91.1,Wi-Fi,Moderate,7,5/12/2025 13:28
Chatkhil,Noakhali,23.05,90.9583,4G,Low,4,5/12/2025 13:30
Companiganj,Noakhali,22.875,91.2833,4G,Low,6,5/12/2025 13:46
Hatiya,Noakhali,22.3667,91.125,4G,Moderate,8,5/12/2025 13:47
Kabir Hat,Noakhali,22.8333,91.2,4G,Moderate,7,5/12/2025 13:48
Noakhali Sadar,Noakhali,22.8256,91.1014,4G,Moderate,5,5/12/2025 13:53
Senbag,Noakhali,23,91.23,4G,Low,6,5/12/2025 14:06
Sonaimuri,Noakhali,23.03833333,91.10833333,4G,Good,6,5/12/2025 14:13
Subarna Char,Noakhali,22.6833,91.11,Wi-Fi,Moderate,7,5/12/2025 14:16
Baghaichari,Rangamati,23.15,92.1917,4G,Low,6,5/12/2025 14:20
Barkal,Rangamati,22.7333,92.3583,4G,Moderate,4,5/12/2025 14:28
Belaichari,Rangamati,22.4667,92.375,4G,Low,0,5/12/2025 14:36
Juraichari,Rangamati,22.6667,92.3833,4G,Low,8,5/12/2025 14:48
Kaptai,Rangamati,22.5,92.2167,4G,Low,8,5/12/2025 15:00
Kaukhali,Rangamati,22.5333,92.0167,4G,Good,4,5/12/2025 15:02
Langadu,Rangamati,22.95,92.15,4G,Low,0,5/12/2025 15:05
Nanniarchar,Rangamati,22.8583,92.1167,4G,Moderate,2,5/12/2025 15:11
Rajosthali,Rangamati,22.3833,92.2417,4G,Low,3,5/12/2025 15:12
Rangamati Sadar,Rangamati,22.65,92.1833,4G,Low,6,5/12/2025 15:28
Dhamrai,Dhaka,23.90833333,90.21666667,4G,Good,9,5/12/2025 15:51
Dohar,Dhaka,23.5958,90.1222,4G,Moderate,0,5/12/2025 16:04
Keraniganj,Dhaka,23.68333333,90.33333333,4G,Good,6,5/12/2025 16:06
Nawabganj,Dhaka,23.6667,90.1667,4G,Low,0,5/12/2025 16:14
Savar,Dhaka,23.88,90.28,4G,Good,7,5/12/2025 16:33
Alfadanga,Faridpur,23.2833,89.7167,4G,Low,0,5/12/2025 16:35
Bhanga,Faridpur,23.3833,89.9833,Wi-Fi,Low,0,5/12/2025 16:37
Boalmari,Faridpur,23.3917,89.6833,4G,Low,0,5/12/2025 16:40
Charbhadrasan,Faridpur,23.55833,90.08333,4G,Low,8,5/12/2025 16:41
Faridpur Sadar,Faridpur,23.5958,89.8306,4G,Low,8,5/12/2025 16:41
Madhukhali,Faridpur,23.5417,89.6306,4G,Moderate,4,5/12/2025 16:42
Nagarkanda,Faridpur,23.4153,89.8917,4G,Moderate,2,5/12/2025 16:53
Sadarpur,Faridpur,23.4764,90.0333,4G,Good,5,5/12/2025 16:56
Saltha,Faridpur,23.41,89.83,4G,Moderate,3,5/12/2025 17:28
Gazipur Sadar,Gazipur,24,90.425,4G,Low,3,5/12/2025 17:31
Kaliakoir,Gazipur,24.075,90.2167,4G,Moderate,0,5/12/2025 17:55
Kaligonj,Gazipur,23.925,90.5667,Wi-Fi,Low,4,5/12/2025 18:00
Kapasia,Gazipur,24.15,90.61,4G,Moderate,4,5/12/2025 18:05
Sreepur,Gazipur,24.2,90.4667,4G,Low,3,5/12/2025 18:05
Gopalganj Sadar,Gopalganj,23.0167,89.8333,4G,Low,0,5/12/2025 18:06
Kasiani,Gopalganj,23.2167,89.7,Wi-Fi,Moderate,10,5/12/2025 18:15
Kotalipara,Gopalganj,22.9833,89.9917,4G,Good,6,5/12/2025 18:40
Muksudpur,Gopalganj,23.3167,89.8667,Wi-Fi,Moderate,0,5/12/2025 18:55
Tungipara,Gopalganj,22.9,89.8833,4G,Good,9,5/12/2025 19:02
Austagram,Kishoreganj,24.2667,91.125,4G,Moderate,10,5/12/2025 19:03
Bajitpur,Kishoreganj,24.2167,90.9583,4G,Moderate,10,5/12/2025 19:12
Bhairab,Kishoreganj,24.05,90.98333333,4G,Moderate,0,5/12/2025 19:18
Hossainpur,Kishoreganj,24.4167,90.65,4G,Good,5,5/12/2025 19:28
Itna,Kishoreganj,24.5333,91.0833,4G,Moderate,3,5/12/2025 19:30
Karimganj,Kishoreganj,24.4583,90.8833,Wi-Fi,Moderate,1,5/12/2025 19:31
Katiadi,Kishoreganj,24.25,90.7917,4G,Moderate,10,5/12/2025 19:33
Kishoreganj Sadar,Kishoreganj,24.4333,90.7833,Wi-Fi,Low,0,5/12/2025 19:36
Kuliarchar,Kishoreganj,24.155,90.9,4G,Low,5,5/12/2025 19:49
Mithamoin,Kishoreganj,24.425,91.045,4G,Good,5,5/12/2025 19:51
Nikli,Kishoreganj,24.3167,90.9333,4G,Moderate,10,5/12/2025 20:01
Pakundia,Kishoreganj,24.3333,90.6833,4G,Low,9,5/12/2025 20:10
Tarail,Kishoreganj,24.5375,90.875,4G,Low,6,5/12/2025 20:17
Kalkini,Madaripur,23.0667,90.2417,Wi-Fi,Moderate,0,5/12/2025 20:17
Madaripur Sadar,Madaripur,23.1667,90.2083,4G,Low,7,5/12/2025 20:20
Rajoir,Madaripur,23.2083,90.0333,4G,Good,5,5/12/2025 20:21
Shibchar,Madaripur,23.35,90.1667,4G,Good,0,5/12/2025 20:33
Daulatpur,Manikganj,23.9611,89.8417,4G,Low,9,5/12/2025 20:38
Ghior,Manikganj,23.8875,89.8375,4G,Good,6,5/12/2025 20:39
Harirampur,Manikganj,23.7333,89.9667,4G,Moderate,8,5/12/2025 20:49
Manikganj Sadar,Manikganj,23.85,90.0111,4G,Moderate,8,5/12/2025 20:56
Saturia,Manikganj,23.5925,90.0231,4G,Moderate,10,5/12/2025 21:06
Shivalaya,Manikganj,23.8333,89.7917,4G,Moderate,9,5/12/2025 21:15
Singair,Munshiganj,23.8167,90.15,4G,Good,7,5/12/2025 21:20
Gazaria,Munshiganj,23.5417,90.6083,4G,Low,9,5/12/2025 21:20
Lauhajong,Munshiganj,23.47,90.35,4G,Moderate,1,5/12/2025 21:24
Munshiganj Sadar,Munshiganj,23.4583,90.5417,4G,Good,3,5/12/2025 21:25
Sirajdikhan,Munshiganj,23.5667,90.3833,4G,Low,3,5/12/2025 21:30
Sreenagar,Munshiganj,23.5361,90.2917,4G,Good,4,5/12/2025 21:39
Tongibari,Munshiganj,23.5,90.4583,4G,Low,3,5/12/2025 21:42
Araihazar,Narayanganj,23.7917,90.65,4G,Moderate,2,5/12/2025 21:51
Bandar,Narayanganj,23.6167,90.525,4G,Good,8,5/12/2025 21:54
Narayanganj Sadar,Narayanganj,23.6,90.5,4G,Moderate,1,5/12/2025 21:56
Rupganj,Narayanganj,23.7931,90.5167,4G,Good,3,5/12/2025 22:02
Sonargaon,Narayanganj,23.6583,90.6083,4G,Low,5,5/12/2025 22:25
Belabo,Narshingdi,24.0917,90.85,4G,Good,10,5/12/2025 22:28
Monohardi,Narshingdi,24.1278,90.7,4G,Moderate,1,5/12/2025 22:31
Narshingdi Sadar,Narshingdi,23.9167,90.725,4G,Low,8,5/12/2025 22:35
Palash,Narshingdi,23.95,90.625,4G,Low,0,5/12/2025 22:50
Raipura,Narshingdi,23.9667,90.875,4G,Moderate,7,5/12/2025 22:56
Shibpur,Narshingdi,24.375,90.7375,4G,Low,7,5/12/2025 22:57
Baliakandi,Rajbari,23.635,89.55,4G,Moderate,4,5/12/2025 22:58
Goalanda,Rajbari,23.7333,89.7611,4G,Good,5,5/12/2025 23:00
Kalukhali,Rajbari,23.68,89.7,4G,Moderate,6,5/12/2025 23:01
Pangsha,Rajbari,23.7917,89.4167,Wi-Fi,Low,1,5/12/2025 23:10
Rajbari Sadar,Rajbari,23.755,89.65,4G,Low,1,5/12/2025 23:17
Bhedarganj,Shariatpur,89.65,90.4417,4G,Low,5,5/12/2025 23:29
Damuddya,Shariatpur,23.1333,90.4333,4G,Low,9,5/12/2025 23:32
Goshairhat,Shariatpur,23.07666667,90.43166667,4G,Good,1,5/12/2025 23:34
Janjira,Shariatpur,23.16,90.13,4G,Good,0,5/12/2025 23:46
Naria,Shariatpur,23.3,90.4,4G,Moderate,3,5/12/2025 23:47
Shariatpur Sadar,Shariatpur,23.20833333,90.35,4G,Good,9,5/12/2025 23:59
Basail,Tangail,24.2167,90.05,Wi-Fi,Good,3,5/13/2025 0:01
Bhuapur,Tangail,24.4583,89.8667,4G,Low,9,5/13/2025 0:53
Delduar,Tangail,24.1417,89.9667,4G,Good,2,5/13/2025 1:04
Dhanbari,Tangail,24.680578,89.939184,4G,Moderate,9,5/13/2025 1:31
Ghatail,Tangail,24.46666667,89.96666667,4G,Moderate,6,5/13/2025 1:33
Gopalpur,Tangail,24.5583,89.9167,4G,Low,8,5/13/2025 1:37
Kalihati,Tangail,24.3833,90.0083,4G,Moderate,2,5/13/2025 1:41
Madhupur,Tangail,24.61666667,90.01805556,4G,Low,0,5/13/2025 1:45
Mirzapur,Tangail,24.1083,90.0917,4G,Low,10,5/13/2025 1:45
Nagarpur,Tangail,24.05,89.86805556,4G,Good,5,5/13/2025 1:54
Shakhipur,Tangail,24.31666667,90.16805556,4G,Low,3,5/13/2025 1:56
Tangail Sadar,Tangail,24.24925,89.91318,4G,Low,4,5/13/2025 2:17
Bagerhat Sadar,Bagerhat,22.66666667,89.8,4G,Good,10,5/13/2025 2:28
Chitalmari,Bagerhat,22.78472222,89.86861111,4G,Low,2,5/13/2025 2:40
Fakirhat,Bagerhat,22.76888889,89.70138889,4G,Low,1,5/13/2025 2:47
Kachua,Bagerhat,22.65,89.88333333,4G,Moderate,8,5/13/2025 2:49
Mollahat,Bagerhat,22.9417,89.7,4G,Low,3,5/13/2025 2:52
Mongla,Bagerhat,22.4833,89.6083,4G,Moderate,9,5/13/2025 3:14
Morrelganj,Bagerhat,22.45,89.8583,4G,Good,6,5/13/2025 3:28
Rampal,Bagerhat,22.5667,89.6639,4G,Moderate,0,5/13/2025 3:35
Sharankhola,Bagerhat,22.2917,89.7917,4G,Low,2,5/13/2025 3:38
Alamdanga,Chuadanga,23.7583,88.95,4G,Good,10,5/13/2025 3:54
Chuadanga Sadar,Chuadanga,23.6417,88.8583,4G,Good,9,5/13/2025 4:03
Damurhuda,Chuadanga,23.6167,88.7833,Wi-Fi,Good,4,5/13/2025 4:17
Jibannagar,Chuadanga,23.4167,88.8208,4G,Low,8,5/13/2025 4:20
Abhoynagar,Jashore,23.01666667,89.43333333,4G,Moderate,3,5/13/2025 4:22
Bagherpara,Jashore,23.2167,89.35,Wi-Fi,Moderate,5,5/13/2025 4:22
Chowgacha,Jashore,23.2667,89.025,4G,Moderate,6,5/13/2025 4:30
Jashore Sadar,Jashore,23.1681,89.2042,4G,Low,4,5/13/2025 4:53
Jhikargacha,Jashore,23.1,89.1333,4G,Moderate,1,5/13/2025 5:09
Keshabpur,Jashore,22.9042,89.5667,4G,Good,2,5/13/2025 5:13
Monirampur,Jashore,23.0167,89.2333,4G,Low,9,5/13/2025 5:20
Sarsha,Jashore,23.0744,88.8667,4G,Low,3,5/13/2025 5:23
Harinakunda,Jhenaidah,23.6417,89.05,4G,Moderate,6,5/13/2025 5:25
Jhenaidah Sadar,Jhenaidah,23.5417,89.1833,4G,Low,4,5/13/2025 5:36
Kaliganj,Jhenaidah,23.4139,89.1333,4G,Low,1,5/13/2025 5:53
Kotchandpur,Jhenaidah,23.4,89.0167,4G,Good,3,5/13/2025 6:07
Moheshpur,Jhenaidah,23.35,88.9125,Wi-Fi,Low,2,5/13/2025 6:21
Shailkupa,Jhenaidah,23.6917,89.25,4G,Low,5,5/13/2025 6:30
Batiaghata,Khulna,22.7417,89.5167,4G,Moderate,8,5/13/2025 6:44
Dacope,Khulna,22.5722,89.5111,4G,Good,2,5/13/2025 6:57
Dighalia,Khulna,22.9083,89.5333,4G,Low,2,5/13/2025 6:59
Dumuria,Khulna,22.8083,89.425,4G,Moderate,0,5/13/2025 7:05
Koira,Khulna,22.3417,89.3,Wi-Fi,Good,10,5/13/2025 7:06
Paikgacha,Khulna,22.5889,89.3361,4G,Moderate,3,5/13/2025 7:10
Phultala,Khulna,22.975,89.4583,4G,Low,7,5/13/2025 7:10
Rupsa,Khulna,22.8333,89.5833,4G,Good,1,5/13/2025 7:12
Terokhada,Khulna,22.9417,89.6694,Wi-Fi,Good,2,5/13/2025 7:30
Bheramara,Kushtia,24.0167,88.9917,4G,Good,0,5/13/2025 7:32
Daulatpur,Kushtia,24.0014,88.875,Wi-Fi,Low,5,5/13/2025 7:46
Khoksha,Kushtia,23.8,89.2833,4G,Low,5,5/13/2025 7:53
Kumarkhali,Kushtia,23.8564724,89.114823,4G,Low,2,5/13/2025 8:09
Kushtia Sadar,Kushtia,23.9,89.1333,4G,Moderate,4,5/13/2025 8:27
Mirpur,Kushtia,23.9333,89,4G,Low,9,5/13/2025 8:30
Magura Sadar,Magura,23.4875,89.4208,4G,Low,1,5/13/2025 8:40
Mohammadpur,Magura,23.4,89.56,4G,Good,5,5/13/2025 8:42
Salikha,Magura,23.34,89.36,4G,Moderate,5,5/13/2025 8:45
Sreepur,Magura,23.6,89.3875,4G,Low,5,5/13/2025 8:53
Gangni,Meherpur,23.81666667,88.755,4G,Low,9,5/13/2025 8:55
Meherpur Sadar,Meherpur,23.775,88.6417,4G,Moderate,4,5/13/2025 8:59
Mujibnagar,Meherpur,23.65003,88.59804,4G,Low,1,5/13/2025 9:01
Kalia,Narail,23.0333,89.6167,4G,Good,6,5/13/2025 9:11
Lohagara,Narail,23.1833,89.6625,Wi-Fi,Moderate,3,5/13/2025 9:11
Narail Sadar,Narail,23.175,89.505,4G,Moderate,10,5/13/2025 9:15
Assasuni,Satkhira,22.55,89.1681,4G,Moderate,9,5/13/2025 9:18
Debhata,Satkhira,22.5667,88.9667,Wi-Fi,Moderate,0,5/13/2025 9:26
Kalaroa,Satkhira,22.59,89.01,4G,Moderate,6,5/13/2025 9:34
Kaliganj,Satkhira,22.45,89.0417,4G,Low,6,5/13/2025 9:41
Satkhira Sadar,Satkhira,22.7167,89.075,4G,Low,0,5/13/2025 9:46
Shyamnagar,Satkhira,22.3306,89.1028,Wi-Fi,Good,9,5/13/2025 9:48
Tala,Satkhira,22.75,89.25,4G,Moderate,6,5/13/2025 9:49
Bakshiganj,Jamalpur,25.225,89.875,4G,Moderate,4,5/13/2025 9:55
Dewanganj,Jamalpur,25.1417,89.7833,4G,Good,6,5/13/2025 9:59
Islampur,Jamalpur,25.0833,89.7917,4G,Low,7,5/13/2025 9:59
Jamalpur Sadar,Jamalpur,24.9167,89.9583,4G,Low,5,5/13/2025 10:04
Madarganj,Jamalpur,24.8917,89.75,4G,Low,6,5/13/2025 10:08
Melendah,Jamalpur,24.9667,89.8333,4G,Low,4,5/13/2025 10:10
Sarishabari,Jamalpur,24.7417,89.8333,Wi-Fi,Moderate,9,5/13/2025 10:11
Bhaluka,Mymensingh,24.375,90.37833333,4G,Good,7,5/13/2025 10:19
Dhobaura,Mymensingh,25.0917,90.5333,4G,Low,9,5/13/2025 10:25
Fulbaria,Mymensingh,24.6333,90.2667,4G,Moderate,6,5/13/2025 10:38
Gaffargaon,Mymensingh,24.4167,90.55,4G,Moderate,7,5/13/2025 10:46
Gouripur,Mymensingh,24.75833333,90.575,4G,Moderate,10,5/13/2025 10:50
Haluaghat,Mymensingh,25.125,90.35,4G,Low,5,5/13/2025 10:52
Ishwarganj,Mymensingh,24.6833,90.625,4G,Low,1,5/13/2025 11:06
Muktagacha,Mymensingh,24.7583,90.2667,4G,Low,8,5/13/2025 11:06
Mymensingh Sadar,Mymensingh,24.75,90.4167,4G,Good,9,5/13/2025 11:10
Nandail,Mymensingh,24.5667,90.6833,4G,Moderate,0,5/13/2025 11:12
Phulpur,Mymensingh,24.95,90.36166667,4G,Low,8,5/13/2025 11:17
Tarakanda,Mymensingh,24.85,90.43333333,4G,Moderate,5,5/13/2025 11:28
Trishal,Mymensingh,24.575,90.39166667,Wi-Fi,Moderate,5,5/13/2025 11:32
Atpara,Netrakona,24.8083,90.8667,4G,Moderate,0,5/13/2025 11:36
Barhatta,Netrakona,24.9,90.875,4G,Low,0,5/13/2025 11:44
Durgapur,Netrakona,25.125,90.6875,4G,Good,5,5/13/2025 11:45
Kalmakanda,Netrakona,25.0833,90.8917,4G,Good,9,5/13/2025 11:50
Kendua,Netrakona,24.65,90.8417,4G,Low,10,5/13/2025 11:55
Khaliajuri,Netrakona,24.7,91.125,4G,Moderate,5,5/13/2025 11:57
Madan,Netrakona,24.7167,90.9667,4G,Low,10,5/13/2025 12:02
Mohanganj,Netrakona,24.8667,90.9667,4G,Good,0,5/13/2025 12:06
Netrakona Sadar,Netrakona,24.875,90.7333,4G,Low,8,5/13/2025 12:08
Purbadhala,Netrakona,24.9333,90.6028,4G,Low,4,5/13/2025 12:09
Jhenaigati,Sherpur,25.1833,90.0667,4G,Low,7,5/13/2025 12:10
Nakla,Sherpur,24.98333333,90.18333333,4G,Low,7,5/13/2025 12:25
